Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771958390,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771958391,5,,Aggregated,0.000000,0.000000,860,860,900,900,920,920,920,920,920,920,920,6,0,820.0,622.0744833323503,93.88680000120075,916.5968999950564,72352.5
1771958392,10,,Aggregated,0.000000,0.000000,150,210,310,820,900,920,1000,1000,1000,1000,1000,24,0,140.0,283.7038124995767,10.543700002017431,1020.2943999975105,43469.5
1771958393,20,,Aggregated,0.000000,0.000000,140,210,290,820,900,920,1000,1000,1000,1000,1000,25,0,140.0,272.9788119994919,10.543700002017431,1020.2943999975105,41737.28
1771958394,25,,Aggregated,10.000000,0.000000,250,510,820,900,1200,1300,1300,1300,1300,1300,1300,40,0,210.0,433.7681725000948,10.543700002017431,1318.2224999982282,47814.5
1771958395,30,,Aggregated,8.000000,0.000000,290,750,980,1200,1500,1700,1700,1900,1900,1900,1900,54,0,280.0,561.7827055556753,7.648599996173289,1850.6431999994675,46714.42592592593
1771958396,35,,Aggregated,8.750000,0.000000,350,920,1200,1300,1700,1800,1900,1900,1900,1900,1900,61,0,350.0,664.7633622951765,7.648599996173289,1853.4113999994588,48490.04918032787
1771958397,40,,Aggregated,8.750000,0.000000,380,860,1100,1300,1700,1800,1900,1900,1900,1900,1900,67,0,380.0,645.5357552238014,7.648599996173289,1853.4113999994588,49351.432835820895
1771958398,45,,Aggregated,8.750000,0.000000,380,860,1100,1300,1700,1800,1900,1900,1900,1900,1900,67,0,380.0,645.5357552238014,7.648599996173289,1853.4113999994588,49351.432835820895
1771958399,50,,Aggregated,8.750000,0.000000,380,860,1100,1300,1700,1800,1900,1900,1900,1900,1900,67,0,380.0,645.5357552238014,7.648599996173289,1853.4113999994588,49351.432835820895
1771958400,50,,Aggregated,8.375000,0.000000,730,1300,1700,1800,3900,4800,4800,5000,5000,5000,5000,81,1,730.0,1273.7173061725543,7.648599996173289,5047.395100002177,53737.17283950617
1771958401,50,,Aggregated,8.375000,0.000000,730,1300,1700,1800,3900,4800,4800,5000,5000,5000,5000,81,1,730.0,1273.7173061725543,7.648599996173289,5047.395100002177,53737.17283950617
1771958402,50,,Aggregated,7.000000,0.100000,900,1700,3700,4100,4800,5300,6500,6700,6700,6700,6700,93,1,900.0,1734.236086021576,7.648599996173289,6662.548400003288,52443.25806451613
1771958403,50,,Aggregated,8.100000,0.100000,1000,1800,4100,4600,5000,5800,5900,6500,6700,6700,6700,101,1,1000.0,1977.7329683168832,7.648599996173289,6662.548400003288,53477.485148514854
1771958404,50,,Aggregated,8.100000,0.100000,1300,3500,4300,4800,5300,5900,6700,6900,7200,7200,7200,117,1,1300.0,2244.9221495726383,7.648599996173289,7186.520299997937,49915.094017094016
1771958405,50,,Aggregated,6.900000,0.100000,1600,3700,4500,4800,5800,6100,7200,8100,8700,8700,8700,130,4,1500.0,2410.01248230767,7.648599996173289,8744.388599996455,48296.04615384615
